agent,skill,available,eligible,missing_requirements,risk_class,approval_required,tested,test_result,notes
creative,human-writing,yes,yes,,green,no,no,,creative copy
creative,video-frames,yes,yes,,green,no,no,,frame extraction
creative,Self-Improving + Proactive Agent,yes,yes,,green,no,no,,creative ideation
creative,content-research,yes,yes,,green,no,no,,research
creative,multi-search-engine,yes,yes,,green,no,no,,research
creative,SocialPack Multi-Platform Social Media Generator,yes,yes,,yellow,no,no,,drafts only
media,video-frames,yes,yes,,green,no,no,,frame extraction
media,SocialPack Multi-Platform Social Media Generator,yes,yes,,yellow,no,no,,drafts only
media,Social Media Scheduler,yes,yes,,orange,yes,no,,scheduling
media,article-writing,yes,yes,,green,no,no,,captions/copy
media,multi-search-engine,yes,yes,,green,no,no,,research
auditor,session-logs,yes,yes,,green,no,no,,review transcripts
auditor,healthcheck,yes,yes,,green,no,no,,probes
auditor,heartbeat-pro,yes,yes,,green,no,no,,heartbeat audit
auditor,memory-tiering,yes,yes,,green,no,no,,memory audit
auditor,neural-memory,yes,yes,,green,no,no,,memory audit
auditor,openclaw-auto-dream,yes,yes,,green,no,no,,dream review
auditor,multi-search-engine,yes,yes,,green,no,no,,verification
auditor,xurl,yes,yes,,green,no,no,,verification fetches
all,gh-issues,no,no,blocked-by-skill-loader,yellow,no,no,,blocked at registry
all,github,no,no,blocked-by-skill-loader,yellow,no,no,,blocked at registry
all,1password,no,no,bins=op,green,no,no,,install op CLI
all,autonomous-research,no,no,env=BRAVE_API_KEY,green,no,no,,set BRAVE_API_KEY
all,bear-notes,no,no,bins=grizzly,green,no,no,,optional
all,bluebubbles,no,no,config=channels.bluebubbles,orange,yes,no,,iMessage out
all,discord,no,no,config=channels.discord.token,orange,yes,no,,Discord channel
all,gemini,no,no,bins=gemini,green,no,no,,not used
all,goplaces,no,no,bins=goplaces+env=GOOGLE_PLACES_API_KEY,green,no,no,,prospect enrichment
all,notion,no,no,env=NOTION_API_KEY,yellow,no,no,,doc store
all,openai-whisper,no,no,bins=whisper,green,no,no,,local transcription
all,openai-whisper-api,no,no,env=OPENAI_API_KEY,green,no,no,,api transcription
all,slack,no,no,config=channels.slack,orange,yes,no,,Slack channel
all,trello,no,no,env=TRELLO_API_KEY+TRELLO_TOKEN,yellow,no,no,,task board
all,sherpa-onnx-tts,no,no,env=SHERPA_ONNX_RUNTIME_DIR+MODEL_DIR,green,no,no,,local TTS
all,voice-call,no,no,config=plugins.entries.voice-call.enabled,red,yes,no,,real phone calls — Red
all,sag,no,no,bins=sag+env=ELEVENLABS_API_KEY,orange,yes,no,,voice gen
all,model-usage,no,no,bins=codexbar,green,no,no,,observability
